Designator,Mid X,Mid Y,Rotation,Layer
H40,111.5,-36.0375,0.0,top
H44,265.3625,-71.0375,0.0,top
H46,43.6125,-110.9375,0.0,top
H48,70.3625,-104.0375,0.0,top
H50,82.6125,-110.9375,0.0,top
H52,109.3625,-104.0375,0.0,top
H54,121.6125,-110.9375,0.0,top
H56,148.3625,-104.0375,0.0,top
H58,160.6125,-110.9375,0.0,top
H60,187.3625,-104.0375,0.0,top
H62,199.6125,-110.9375,0.0,top
H64,226.3625,-104.0375,0.0,top
H66,238.6125,-110.9375,0.0,top
H68,265.3625,-104.0375,0.0,top
H70,43.6125,-143.9375,0.0,top
H72,70.3625,-137.0375,0.0,top
H74,82.6125,-143.9375,0.0,top
H76,109.3625,-137.0375,0.0,top
H78,121.6125,-143.9375,0.0,top
H80,148.3625,-137.0375,0.0,top
H82,160.6125,-143.9375,0.0,top
H84,187.3625,-137.0375,0.0,top
H86,199.6125,-143.9375,0.0,top
H88,226.3625,-137.0375,0.0,top
J10,265.7925,-146.6275,180.0,top
J11,233.3625,-135.9875,0.0,top
J12_2,70.7925,-80.6275,180.0,top
J12,70.7925,-47.6275,180.0,top
J13_2,38.3625,-69.9875,0.0,top
J13,38.3625,-36.9875,0.0,top
J14,109.7925,-80.6275,180.0,top
J15,77.3625,-69.9875,0.0,top
J16_3,226.7925,-80.6275,180.0,top
J16_2,148.7925,-80.6275,180.0,top
J16,187.7925,-80.6275,180.0,top
J17_3,155.3625,-69.9875,0.0,top
J17_2,116.3625,-69.9875,0.0,top
J17,194.3625,-69.9875,0.0,top
J2,79.3025,-32.6475,0.0,top
J22,112.1625,-45.3875,180.0,top
J23,265.7925,-80.6275,180.0,top
J24,233.3625,-69.9875,0.0,top
J25,70.7925,-113.6275,180.0,top
J26,38.3625,-102.9875,0.0,top
J27,109.7925,-113.6275,180.0,top
J28,77.3625,-102.9875,0.0,top
J29,148.7925,-113.6275,180.0,top
J30,116.3625,-102.9875,0.0,top
J31,187.7925,-113.6275,180.0,top
J32,155.3625,-102.9875,0.0,top
J33,226.7925,-113.6275,180.0,top
J34,194.3625,-102.9875,0.0,top
J35,265.7925,-113.6275,180.0,top
J36,233.3625,-102.9875,0.0,top
J37,70.7925,-146.6275,180.0,top
J38,38.3625,-135.9875,0.0,top
J39,109.7925,-146.6275,180.0,top
J40,77.3625,-135.9875,0.0,top
J41,148.7925,-146.6275,180.0,top
J42,116.3625,-135.9875,0.0,top
J43,187.7925,-146.6275,180.0,top
J44,155.3625,-135.9875,0.0,top
J45,226.7925,-146.6275,180.0,top
J46,194.3625,-135.9875,0.0,top
Q10_2,58.8725,-37.2635,0.0,top
Q10,58.8725,-70.2635,0.0,top
Q11_2,58.8725,-40.8635,0.0,top
Q11,58.8725,-73.8635,0.0,top
Q12,97.8725,-70.2635,0.0,top
Q13,97.8725,-73.8635,0.0,top
Q14_3,214.8725,-70.2635,0.0,top
Q14_2,136.8725,-70.2635,0.0,top
Q14,175.8725,-70.2635,0.0,top
Q15_3,136.8725,-73.8635,0.0,top
Q15_2,214.8725,-73.8635,0.0,top
Q15,175.8725,-73.8635,0.0,top
Q20,253.8725,-70.2635,0.0,top
Q21,253.8725,-73.8635,0.0,top
Q22,100.9125,-38.5875,0.0,top
Q23,58.8725,-103.2635,0.0,top
Q24,58.8725,-106.8635,0.0,top
Q25,97.8725,-103.2635,0.0,top
